prompt,result_track_ids,result_count
classical orchestral elegant,2FM_2FM_0082_10101;BRU_BCC_0023_01401;2FM_2FM_0022_00201;ALC_ALC_0005_03101;BRU_BCC_0001_00701;BRU_BCC_0028_07601;BRU_BCC_0040_01701;2FM_2FM_0082_13301;BRU_BCC_0011_01201;PNCL_PNCL_0001_06401;SPARKLE_SPARKLE_0013_08001;2FM_2FM_0041_01401;2FM_2FM_0041_07301;2FM_2FM_0045_06501;2FM_2FM_0064_07901;2FM_2FM_0068_01201;2FM_2FM_0111_02901;BRU_BCC_0020_01001;BRU_BCC_0030_03701;BRU_BCC_0041_08401;BRU_BCC_0042_03101;SEL_LS_1003_00801;SEL_LS_1026_00301;2FM_2FM_0026_10401;2FM_2FM_0079_04001;2FM_2FM_0091_00801;2FM_2FM_0094_00701;2FM_2FM_0102_04001;2FM_2FM_0106_08301;ALC_ALC_0058_00201;AXS_AXS_2049_03101;FAB_FAB_0039_02201;KPM_KPMCS_0012_01601;KPM_KPMCS_0029_01501;MPATH_MPATH_0021_12001;PNCL_PNCL_0002_10201;SON_SCDC_3296~2_01301;SPARKLE_SPARKLE_0013_03601;ALC_ALC_0050_00501;APM_APMC_0121_00601;KOS_KCL_3003_00601;KOS_KCL_3004_01901;KPM_KPMCS_0028_00201;OMI_OMN_0044_03201;2FM_2FM_0037_06901;2FM_2FM_0048_11401;2FM_2FM_0056_12301;2FM_2FM_0057_02601,48
jazz smooth lounge,AXS_AXS_2194_06901;AXS_AXS_2283_04501;BIB_BIB_0140_01501;BIB_TBX_0109_00801;BIB_TBX_0200_01001;BRU_BR_0081_02301;BRU_BTV_0149_09001;GUM_GMT_8098_00501;KOS_KOS_0017_00701;SOHO_SOHO_0172_01101;SOHO_SOHO_0210_02801;SON_SCDV_0181_02401;SPOTON_SPOTON_0027_26801;BRU_BR_0192_02901;2FM_2FM_0040_05901;BIB_BIB_0109_01101;AXS_AXS_2031_05101;2FM_2FM_0033_10801;2FM_2FM_0105_04901;ADD_ADD_0019_03501;ADTK_ADTK_0353_03401;AXS_AXS_2017_05501;AXS_AXS_2036_02701;BIB_BIB_0066_01001,24
ambient atmospheric chill,2FM_2FM_0105_00301;BRU_BR_0396_02301;BRU_BR_0695_02301;2FM_2FM_0033_06701;2FM_2FM_0033_10801;2FM_2FM_0040_05901;2FM_2FM_0056_00501;2FM_2FM_0063_17101;2FM_2FM_0085_09501;2FM_2FM_0105_04901;APM_APMC_0124_01101;APM_APMC_0124_02501;AXS_AXS_2296_01301;AXS_AXS_2321_06101;BRU_BR_0311_07701;BRU_BR_0326_09601;BRU_BR_0396_04801;BRU_BTV_0107_04701;ANH_ANH_0044_03101;AXS_AXS_2548_02101;BIB_BIB_0109_01101;2FM_2FM_0102_04001;ADD_ADD_0003_04401;APM_APMC_0108_03501;APM_APMC_0160_01401;AXS_AXS_2022_06401;AXS_AXS_2039_01601;AXS_AXS_2042_01401;AXS_AXS_2052_02901;AXS_AXS_2052_07101;AXS_AXS_2063_02901;BIB_BIB_0078_00901;BRU_BR_0433_03601;BRU_BTV_0149_09001;BRU_BTV_0157_03201;BRU_BTV_0230_07401,36
action adventure heroic,ANH_ANH_0002_12901;ABAC_ABAC_0011_00101;BIB_BIB_0066_01001;BRU_BR_0226_03801;2FM_2FM_0038_07201;2FM_2FM_0038_10001;ABAC_ABAC_0002_00701;ADD_ADD_0005_07401;ANH_ANH_0001_14101;ANH_ANH_0002_00301;ANH_ANH_0004_00501;ANH_ANH_0004_11901;ANH_ANH_0005_14001;ANH_ANH_0006_09101;ANH_ANH_0006_13401;APM_APMC_0108_03501;APM_APMC_0113_01301;APM_APMC_0118_01001;APM_APMC_0118_04401;APM_APMC_0160_01401;APM_APMC_0211_01501;AWP_AWP_0024_05001;AWP_AWP_0028_00801;AXS_AXS_2063_02901;AXS_AXS_2576_02801;AXS_AXS_2618_01301;BIB_BIB_0109_01101;BIB_TBX_0190_00201;BRU_BCC_0012_02401;BRU_BEE_0019_03801;BRU_BR_0433_01501;BRU_SVN_0039_02601;SEL_LS_1012_00601;SEL_LS_1037_00201;SEL_LS_1045_00701;SEL_LS_1057_00101,36
romantic love ballad,APM_APMC_0213_05401;2FM_2FM_0081_10801;2FM_2FM_0041_01401;ADTK_ADTK_0192_05001;ADTK_ADTK_0192_09601;2FM_2FM_0048_11401;2FM_2FM_0094_00701;2FM_2FM_0041_07301;AXS_AXS_2057_06701;2FM_2FM_0056_12301;2FM_2FM_0068_01201;2FM_2FM_0082_13301;ADTK_ADTK_0353_03401;APM_APMC_0176_01601;APM_APMC_0179_02201;APM_APMC_0214_00901;AVC_AVCD_0701_00801;AXS_AXS_2017_05501;2FM_2FM_0102_04001;2FM_2FM_0002_00301;2FM_2FM_0002_05401;2FM_2FM_0003_07101;2FM_2FM_0009_03501;2FM_2FM_0064_07901;2FM_2FM_0081_13501;2FM_2FM_0082_10101;2FM_2FM_0106_08301;ADD_ADD_0002_05301;ADD_ADD_0002_10501;ADD_ADD_0003_04401;ADD_ADD_0006_00901;ADD_ADD_0006_04901;ADD_ADD_0019_03501;ADD_ADD_0023_06801;ADD_ADD_0026_05001;ANEW_ANEW_0004_04801,36
quirky comedy fun,ADD_ADD_0006_04901;2FM_2FM_0002_05401;ADTK_ADTK_0192_05001;ADTK_ADTK_0192_09601;AXS_AXS_2591_01001;BRU_BTV_0160_03601;2FM_2FM_0002_00301;2FM_2FM_0003_07101;2FM_2FM_0009_03501;ADD_ADD_0002_10501;ADD_ADD_0006_00901;ADD_ADD_0019_03501;ADD_ADD_0026_05001;ANEW_ANEW_0004_04801;ANEW_ANEW_0006_02401;ANH_ANH_0039_09201;ANH_ANH_0044_03101;ANH_ANH_0045_01401;ANH_ANH_0045_11601;ANH_ANH_0049_03901;AWP_AWP_0025_02901;AXS_AXD_3001_05601;AXS_AXD_3006_05501;BIB_IOM_0001_00201,24
electronic edm dance,APM_APMC_0124_02501;AXS_AXS_2296_01301;ADD_ADD_0011_03201;AXS_AXS_2321_06101;BRU_BR_0326_09601;AXS_AXS_2052_07101;APM_APMC_0124_01101;AXS_AXS_2001_06501;AXS_AXS_2012_02601;AXS_AXS_2042_01401;BRU_BR_0311_07701;BRU_BR_0695_02301;AXS_AXS_2052_02901;ADD_ADD_0005_09701;ADTK_ADTK_0353_03401;AVC_AVCD_0749_00801;AXS_AXS_2022_06401;AXS_AXS_2071_05801;BRU_BR_0396_02301;BRU_BR_0396_04801;BRU_BTV_0107_04701;BIB_BIB_0105_01901;BIB_TBX_0109_00801;CEZ_CEL_7035_00101;2FM_2FM_0008_03501;DED_DED_0152_00401;2FM_2FM_0106_08301;ADD_ADD_0008_07201;ANH_ANH_0002_00301;APM_APMC_0174_11001;BIB_BIB_0066_01001;BIB_BIB_0109_01101;BIB_BIB_0206_02601;BIB_INPIC_0003_04701;ALC_ALC_0077_01901;ALC_ALC_0077_02301,36
cinematic score dramatic,2FM_2FM_0022_00201;2FM_2FM_0038_07201;2FM_2FM_0102_04001;BIB_BIB_0066_01001;2FM_2FM_0038_10001;2FM_2FM_0041_01401;2FM_2FM_0041_07301;2FM_2FM_0048_11401;2FM_2FM_0068_01201;2FM_2FM_0081_10801;2FM_2FM_0082_13301;2FM_2FM_0106_08301;ALC_ALC_0050_00501;BIB_BIB_0109_01101;KOS_KCL_3003_00601;2FM_2FM_0056_12301;2FM_2FM_0064_07901;2FM_2FM_0081_13501;2FM_2FM_0082_10101;2FM_2FM_0094_00701;ALC_ALC_0005_03101;ALC_ALC_0026_01801;ALC_ALC_0058_00201;ALC_ALC_0091_00601;ALC_ALC_0102_00901;ALC_ALC_0109_00501;ALC_ALC_0130_00701;APM_APMC_0108_03501;APM_APMC_0113_01301;APM_APMC_0118_01001;APM_APMC_0118_04401;APM_APMC_0160_01401;APM_APMC_0211_01501;APM_APMC_0262_00701;AXS_AXS_2049_03101;BIB_BIB_0206_02601;BRU_BCC_0001_00701;BRU_BCC_0003_00801;BRU_BCC_0003_04601;BRU_BCC_0011_01201;BRU_BCC_0012_02401;BRU_BCC_0013_00701;BRU_BCC_0013_03701;BRU_BCC_0020_01001;BRU_BCC_0023_01401;BRU_BCC_0028_00301;BRU_BCC_0028_07601;BRU_BCC_0030_03701,48
motivational sports victory,BRU_BR_0226_03801;ADTK_ADTK_0363_02201;BRU_BR_0318_09501;ABAC_ABAC_0006_00601;APM_APMC_0191_02001;APM_APMC_0201_02801;AXS_AXS_2063_02901;AXS_AXS_2314_02001;AXS_AXS_2395_02901;BIB_BIB_0021_01601;BIB_BIB_0103_00501;BIB_BIB_0105_01901;BIB_TBX_0190_00201;BRU_BEE_0019_03801;BRU_BR_0575_05301;AWP_AWP_0024_05001;AXS_AXS_2258~2_05901;BIB_BIB_0235_02001;BRU_BR_0583_00701;ADD_ADD_0005_07401;APM_APMC_0149_00901;APM_APMC_0233_00801;APM_APMC_0236_00701;AVC_AVCD_0710_00101;AWP_AWP_0019_00801;AWP_AWP_0020_03701;AWP_AWP_0021_01001;AWP_AWP_0028_00801;AWP_AWP_0035_00501;AXS_AXS_2380_02601;AXS_AXS_2380_06501;AXS_AXS_2410_00901;AXS_AXS_2480_03201;AXS_AXS_2482_06301;AXS_AXS_2510_05001;AXS_AXS_2548_02101,36
news broadcast urgent,2FM_2FM_0051_17601;2FM_2FM_0098_08301;2FM_2FM_0008_03501;2FM_2FM_0030_10301;2FM_2FM_0052_03201;2FM_2FM_0054_06401;2FM_2FM_0054_08401;2FM_2FM_0065_10101;2FM_2FM_0088_05601;2FM_2FM_0099_00501;ADD_ADD_0008_07201;ADD_ADD_0013_04201;AWP_AWP_0029_06901;BRU_BEE_0014_01401;BRU_BEE_0016_01901;MPATH_MPATH_0021_07001;SOHO_SOHO_0210_02801;AXS_AXS_2006_02801;2FM_2FM_0105_00301;2FM_2FM_0106_08301;APM_APMC_0108_03501;AXS_AXS_2480_03201;AXS_AXS_2565_00401;AXS_AXS_2576_02801,24
upbeat acoustic guitar,2FM_2FM_0067_00401;2FM_2FM_0067_01201;2FM_2FM_0105_00301;2FM_2FM_0105_04901;ADD_ADD_0020_00101;ADTK_ADTK_0266_04501;APM_APMC_0164_02101;APM_APMC_0164_07001;AXS_AXS_2131_02301;AXS_AXS_2460_07501;AXS_AXS_2460_11701;AXS_AXS_2492_02701;AXS_AXS_2591_01001;BIB_BIB_0076_02001;BIB_TBX_0138_02801;BRU_BTV_0157_03201;BRU_BTV_0160_03601;BLOOM_BLOOM_0004_04201;GTP_GTP_0052_01201;BIB_TBX_0209_01601;BIB_TBX_0210_00301;AWP_AWP_0025_02901;BRU_BR_0593_01201;BIB_IOM_0001_00201;APM_APMC_0137_13501;APM_APMC_0177_07901;AXS_AXS_2269~2_06601;AXS_AXS_2496_05201;2FM_2FM_0038_07201;2FM_2FM_0038_10001;2FM_2FM_0034_12201;ADD_ADD_0002_05301;ADTK_ADTK_0363_02201;GUM_GMT_8098_00501;SOHO_SOHO_0172_01101;SPOTON_SPOTON_0027_26801,36
music for a car chase scene,CEZ_CET_9034_02401;CEZ_CEZ_4515_00601;LQC_LQC_0029_06401;MTA_MTA_0018_27001;MTA_MTA_0035_21701;NFL_NFL_0073_02101;PTH_PTH_0004_02101;SEL_SEL_5201_03301;SEL_SEL_5331_08501;SOHO_BOS_1017_01601;SOHO_BOSA_0120_00601;SOHO_SOHO_0215_01401;SON_SCDV_0235_01701;SON_SCDV_1304_04601;SON_STT_0029_01801;TCS_TCS_0179_01001;BRU_BR_0226_03801;AXS_AXS_2576_02801;BIB_TBX_0190_00201;BRU_BEE_0019_03801;AWP_AWP_0024_05001;AXS_AXS_2063_02901;AXS_AXS_2618_01301;BRU_BR_0433_01501;ADD_ADD_0005_07401;APM_APMC_0108_03501;APM_APMC_0113_01301;APM_APMC_0118_01001;APM_APMC_0160_01401;BIB_BIB_0066_01001;BIB_BIB_0109_01101;SEL_LS_1012_00601;SEL_LS_1037_00201;SEL_LS_1045_00701;SEL_LS_1057_00101;2FM_2FM_0038_10001,36
something that feels like a rainy Sunday morning,APM_APMC_0137_13501;JGM_JGM_0037_00101;SON_HIP_0122_03501;AXS_AXS_2463_05801;SOHO_BOS_1027_07401;SOHO_BOS_1031_03801;SOHO_BOS_1032_00601;SOHO_BOS_1032_06301;SOHO_SOHOA_0140_04901;2FM_2FM_0041_01401;2FM_2FM_0041_07301;2FM_2FM_0056_00501;2FM_2FM_0056_12301;2FM_2FM_0063_17101;2FM_2FM_0064_07901;2FM_2FM_0068_01201;2FM_2FM_0081_10801;2FM_2FM_0081_13501;2FM_2FM_0082_10101;2FM_2FM_0082_13301;2FM_2FM_0094_00701;2FM_2FM_0102_04001;2FM_2FM_0106_08301;ALC_ALC_0050_00501;ALC_ALC_0058_00201;ALC_ALC_0102_00901;APM_APMC_0262_00701;AXS_AXS_2049_03101;FAB_FAB_0024_02501;FAB_FAB_0039_02201;KOS_KCL_3003_00601;KPM_KPMCS_0029_01901;MPATH_MPATH_0021_12001;SPARKLE_SPARKLE_0013_03601;SPARKLE_SPARKLE_0013_08001;BRU_BCC_0038_05401,36
