id,track_title,track_description,bpm,duration,album_title,library_name,composer,genre,additional_genres,apm_release_date
2FM_2FM_0030_10301,Succumbing to Fate 60C,"Sad, reflective synth chime loop builds with calm, heartbroken strings, light synth percussion and tragic brass. A tragic acceptance of fate",60,62,"ORCHESTRAL HYBRIDS: TENSION, REFLECTION & DRAMA",2nd Foundation Music,Bradley Farmer,1227,1923;2032;2169;3906,02/28/2018
2FM_2FM_0032_12401,Summer Festival MainSparseRhythmSection,"Gentle, peaceful guitar loops build with warm string atmospheres to feel good, whimsical, positive theme. Relaxed, lyrical & nostalgic",86,142,ANTHEMIC ORCHESTRAL ROCK,2nd Foundation Music,Bradley Farmer,1357,2003;2036;2132;2137;2148;3906,04/11/2018
2FM_2FM_0033_06701,Bright World 30A,"Bright, optimistic piano loop builds with uplifting vibes & celesta, percussion & happy glockenspiel. Positive, motivational texture",84,31,CYCLIC UNDERSCORES,2nd Foundation Music,Daryl Griffith,1118,2002;2003;2007;2008;2011;2012;3906,05/23/2018
2FM_2FM_0033_10801,Focus on Facts 30B,"Neutral, rhythmic marimba loop builds with syncopated shakers, & angular piano loops. Confident & cool underscore",93,31,CYCLIC UNDERSCORES,2nd Foundation Music,Daryl Griffith,1118,2002;2004;2011;2012;2029;2169;3906,05/23/2018
2FM_2FM_0034_12201,Reflective Splendour 60B,"Bright, static string bed & reflective, free-flowing Indian sitar solo. Beautiful, uplifting & optimistic",88,61,DRAMA AND RAGA,2nd Foundation Music,Tanuj Tiku,1114,1996;2032;2034;2036;3906,07/11/2018
2FM_2FM_0037_06901,Many Hands Make Light Work 30A ChristmasMix,"A cheeky, happy light-music orchestra with Christmas sleigh bell underscore & clopping hooves. Features classy show-tune build. Festive & fun",100,31,CHRISTMAS MIXES VOL.1,2nd Foundation Music,Daryl Griffith,1111,1918;1925;2032;2084;3906,09/26/2018
2FM_2FM_0038_07201,Past Regrets MainUnderscore,"Melancholy, graceful acoustic guitar ostinato builds with sad, sparse, mysterious synths. Gloomy, lyrical & solemn atmosphere",66,121,AMBIENT GUITAR,2nd Foundation Music,Bradley Farmer,1360,2032;2154;2170;2173,09/26/2018
2FM_2FM_0038_10001,Inner Serenity 30C,"Static synth underscore with slow, peaceful solo acoustic guitar chords & warm, hopeful melody. Peaceful, intimate & positive atmosphere",52,31,AMBIENT GUITAR,2nd Foundation Music,Bradley Farmer,1360,2032;2034;2154;2170;2173,09/26/2018
2FM_2FM_0040_05901,Underhand Dealing 30A,"Restless syncopated marimba loop builds with energetic shaker & jazzy, cool piano with rhythmic vibraphone. Quirky, mysterious underscore",120,31,INVESTIGATIVE UNDERSCORES,2nd Foundation Music,Daryl Griffith,1118,1920;1929;2002;2004;2012;3906,11/07/2018
2FM_2FM_0041_01401,New Aspirations Sting,"Dignified, majestic piano theme with warm, emotional strings. Calm, tender finish",176,12,TENDER EMOTIONS: PIANO & STRINGS,2nd Foundation Music,Paul Reeves,1120,1920;2003;2007;2032;2034;3906,02/20/2019
2FM_2FM_0041_07301,Overcoming Regrets 30B,"Reflective, emotional, flowing piano builds with cymbal to lyrical, bittersweet strings & delicate glockenspiel melody. Poignant, nostalgic waltz",145,31,TENDER EMOTIONS: PIANO & STRINGS,2nd Foundation Music,Paul Reeves,1120,1918;1920;1926;2032;2034;3906,02/20/2019
2FM_2FM_0045_06501,High Society StingA,"Positive, bouncy, proud string quartet in Mozart Classical period style. Confident & delicate ending for upscale high society events & receptions",130,9,Background Classical Quartet,2nd Foundation Music,Daryl Griffith,1116,2032;3906,07/10/2019
2FM_2FM_0046_08801,Finding Beauty 60B,"Soft, peaceful, serene piano introduces beautiful, emotional, flowing string quintet. Calm piano interlude builds to bright, uplifting, tender ending",123,61,Positive Inspiration,2nd Foundation Music,Robert Elliott,1198,1917;1925;1929;2003;2032;3906,07/10/2019
2FM_2FM_0048_02201,New Arrival 60A ChristmasMix,"Calm, peaceful, beautiful harp, sparkling percussion & bright chimes build with warm strings & Christmas sleigh bells to dreamy, tender textures",130,69,Christmas Mix Volume 2: Magical Orchestra,2nd Foundation Music,Daryl Griffith,1108,1918;1920;1925;2032;2035;3906,10/02/2019
2FM_2FM_0048_06001,Homely Arrival StingB ChristmasMix,"Delicate strings & tender harp underscore intimate woodwind solos. Beautiful, sparkling Christmas orchestra ending",70,23,Christmas Mix Volume 2: Magical Orchestra,2nd Foundation Music,Daryl Griffith,1109,1920;1925;1929;2032;2035;3906,10/02/2019
2FM_2FM_0048_11401,Anything Is Possible 60B ChristmasMix,"Uplifting, optimistic, flowing string ostinato builds with emotional piano melody & sparkling Christmas sleigh bells to hopeful, tender orchestra",94,63,Christmas Mix Volume 2: Magical Orchestra,2nd Foundation Music,Daryl Griffith,1120,1918;1920;1925;2032;2034;3906,10/02/2019
2FM_2FM_0049_10901,Slinky Seduction 30,"Slow, seductive jazz soul piano with slinky percussion, sultry upright bass & relaxed, soft electric guitar. Sexy cocktail lounge",65,31,The Cocktail Lounge,2nd Foundation Music,Paul Reeves,1270,2024;2027;2032;2064;2084;2085,04/15/2020
2FM_2FM_0051_17601,Frozen Vista 60BCinematicMix,"Sad, bleak piano melody with restless, urgent high synth loop & cold strings. Documentaries, films & investigations. Cinematic mix",60,61,Poignant Cinematic Reflections,2nd Foundation Music,Daryl Griffith,1227,1926;1927;1929;2032;2172;2173;3906,04/15/2020
2FM_2FM_0052_03201,Success within Reach 30B PromoMix,"Determined synth theme with insistent strings, restless percussion & anxious brass. Motivational orchestra mix for promos & sports",125,31,Promo Mixes Volume 2: Powerful Motivation,2nd Foundation Music,Daryl Griffith,1227,1923;1924;1929;2007;2008;2011;3906,03/04/2020
2FM_2FM_0054_06401,Losing Hope 30B,"Tender, emotional orchestra with powerful drums, dark, sad strings, lonely synths & melancholy brass. Companion to 2FM016 Industrial Hybrids",60,31,Promo Mixes Volume 3: Powerful Emotions,2nd Foundation Music,Bradley Farmer,1227,1920;1923;1929;2008;2009;2032;3906,04/15/2020
2FM_2FM_0054_08401,Surrendering to Emotions StingB,"Epic, emotional orchestra end with lyrical, tender, melancholy string melodies, intense drums & powerful synths. Companion to 2FM024 Emotional Strings",70,10,Promo Mixes Volume 3: Powerful Emotions,2nd Foundation Music,Daryl Griffith,1227,1920;1929;2008;2009;2032;2034;3906,04/15/2020
2FM_2FM_0056_00501,Calm Focus,"Neutral, focussed upright piano loop builds with soft, sparkling textures & delicate melody. Positive flowing momentum for documentaries & adverts",128,168,Soft Piano Moods,2nd Foundation Music,Wesley Hicks,1118,1926;1929;2029;2032;2034;2172;3906,05/27/2020
2FM_2FM_0056_12301,Lost in the Past Sparse,"Lonely, sad, nostalgic upright piano melody. Beautiful, sparse, tender & bittersweet for documentaries, drama & reality TV",74,87,Soft Piano Moods,2nd Foundation Music,Wesley Hicks,1120,1918;1920;1926;2029;2032;2173;3906,05/27/2020
2FM_2FM_0057_02601,Lurking & Loitering StingA,"Cunning, slinky bassoon introduces soft, dark woodwinds. Stealthy, mischievous & sly ending for children's TV & documentaries",7,7,Quirky Woodwinds,2nd Foundation Music,Daryl Griffith,1116,1917;1918;1920;2032;2084;3906,07/08/2020
2FM_2FM_0059_14301,Ding Dong Merrily on High 30A,"Confident strings & energetic violin lead to bouncy, delicate end. Graceful, happy arrangement of Christmas carol",100,31,Christmas String Quartet,2nd Foundation Music,Daryl Griffith,1113,1920;1925;2115;3906,08/19/2020
2FM_2FM_0063_17101,Flow of Time 60A,"Calm, flowing, neutral underscore with tuned percussion. Bittersweet piano & one-note vibraphone loops build with shaker & confident marimba",112,60,Neutral Underscores,2nd Foundation Music,James Yan,1118,2002;2004;2012;3906,04/07/2021
2FM_2FM_0064_07901,Down to Work Strings&Piano,"Positive, determined piano sextet motivation for advertising & corporate. Insistent string textures introduce strong, confident violin melody, bouncy pizzicato bassline & flowing piano. D Minor",137,103,Moving Forward,2nd Foundation Music,Robert Elliott,1120,1925;2003;2007;2012;2100;3906,04/07/2021
2FM_2FM_0065_10101,Towards Reckoning Strings Only,"Restless anticipation builds to fateful reckoning. Insistent, nervous strings build to tense pause. Powerful end sweeping melodies. Cinematic orchestra for promos. E Minor",122,84,Emotional Builds,2nd Foundation Music,Bradley Farmer,1227,1920;2032;2034;3906,05/19/2021
2FM_2FM_0067_00401,Open Road,"Upbeat, positive Americana for advertising & reality TV. Energetic acoustic guitar riff introduces contented electric guitar & soft percussion. Inspirational build with happy, insistent tambourine to uplifting textures & warm ending. E Major",115,128,Positive Indie Folk,2nd Foundation Music,Richard Aikman,1173,3401,08/16/2021
2FM_2FM_0067_01201,Evening Peace,"Intimate, homely underscore for advertising & reality TV. Peaceful fingerpicked riff introduces calm, contented piano & beautiful, emotional acoustic guitar melody, building with relaxed shaker. Soft, quiet interlude & positive, confident return. C Major",84,177,Positive Indie Folk,2nd Foundation Music,Richard Aikman,1173,1918;3401,08/16/2021
2FM_2FM_0068_01201,Fond Memories Main Christmas Mix,"Rich, emotional Christmas orchestra. Lyrical, intimate piano solo with warm string bed & delicate sleigh bells, building with magical, sparkling chimes, beautiful, soft horns & homely woodwinds. Companion to 2FM002 Contemporary Classical",71,149,Christmas Mix Volume 4: Neoclassical Orchestra,2nd Foundation Music,Daryl Griffith,1120,1918;1920;2032;3906,08/16/2021
2FM_2FM_0071_03901,Troublemakers 60 A,"Restless, anxious pop strings & electronics for reality TV & game shows. Insistent cellos & ticking percussion introduce spiky, dramatic strings, building to powerful climax with confident beats. E Minor",105,61,Reality TV Strings,2nd Foundation Music,Daryl Griffith,1291,2005;2007;2036,11/10/2021
2FM_2FM_0071_10301,Taking Charge Sting B,"Determined pop strings & electronics sting for reality TV & game shows. Driving, cool drums & powerful cellos. D Minor",83,8,Reality TV Strings,2nd Foundation Music,Daryl Griffith,1291,2005;2007;2046,11/10/2021
2FM_2FM_0077_00701,Alley Cat Blues,"Sneaky, mischievous jazz underscore for advertising & reality TV. Cool, laid-back bass & drums with sly piano melody, joined by slinky muted trumpet. Chilled melody passes from trombone to saxes, before swaggering, full brass texture. F Minor",135,130,Swing Band Underscores,2nd Foundation Music,Joseph Rodwell,1254,1911;2064;2085,06/22/2022
2FM_2FM_0077_06501,Railroad Boogie 60Underscore,"Upbeat, fun swing band underscore. Energetic piano riff & swing hi-hats introduce full band boogie with positive horn section melodies, leading to underscore texture with trombone & sax stabs. Positive muted trumpet & winds reprise. F Major",180,60,Swing Band Underscores,2nd Foundation Music,Justin Swadling,1254,1911;2080;2081,06/22/2022
2FM_2FM_0079_04001,Clueless Innocence 30 B Christmas Mix,"Happy, bright Christmas orchestra. Steady pizzicato strings & light festive sleigh bells underscore quirky bassoon solo, building with questioning woodwinds before light end. Companion to 2FM029 Pizzicato Portraits",80,30,Christmas Mix Volume 5: Naughty Or Nice,2nd Foundation Music,Daryl Griffith,1116,1917;1918;1929;2032;2084;3906,08/03/2022
2FM_2FM_0081_10801,To Love and Cherish 60 A,"Tender, emotional piano & string quartet for romance & reality TV. Flowing, sentimental piano melody with warm cello, leading to sweet, heartwarming string texture. Db Major to Eb Major",47,60,Sentimental Moments,2nd Foundation Music,Robert Elliott,1120,3906,10/26/2022
2FM_2FM_0081_13501,Innocent Days 30 A,"Innocent, childlike piano lullaby for reality TV & advertising. Calm, happy piano melody. Db Major",92,30,Sentimental Moments,2nd Foundation Music,Robert Elliott,1120,1917;1918;3906,10/26/2022
2FM_2FM_0082_10101,Bright New Day Piano And Strings Promo Pauses,"Bright, optimistic neo-classical piano & orchestra for promos & adverts. Positive, flowing piano & happy, bouncy pizzicato introduce rich strings & hopeful, lyrical melody, building to uplifting climax. With promo pauses. D Major",165,163,Uplifting Promos,2nd Foundation Music,Paul Reeves,1120,1927;2003;3906,12/07/2022
2FM_2FM_0082_13301,Dreams Take Flight 30 A,"Uplifting, emotional neo-classical orchestra for promos & adverts. Positive, flowing piano loop & warm, insistent strings. Bb Major",150,31,Uplifting Promos,2nd Foundation Music,Paul Reeves,1120,1927;3906,12/07/2022
2FM_2FM_0085_09501,Fascinating Discovery 30 B,"Neutral, intriguing underscore for documentaries, science & discovery. Insistent pizzicato melody with calm vibraphone & curious marimba, leading to curious end. A Minor",96,31,Serious Pizzicato,2nd Foundation Music,Daryl Griffith,1118,1929;2032;3906,03/01/2023
2FM_2FM_0088_05601,Renewed Faith 60 B,"Warm, sentimental hybrid orchestra for hopeful, heartwarming stories. Hopeful, lyrical strings & calm, comforting synth pads build to emotional climax before thoughtful, reflective piano end. Eb Major",80,60,American Storytelling,2nd Foundation Music,Daryl Griffith,1227,2032,05/03/2023
2FM_2FM_0091_00801,Swan Boat,"Calm, graceful mixed ensemble for documentaries & reality TV. Light, contented, walking string quartet introduces peaceful, floating vibraphone & beautiful, elegant flute melody, joined by delicate glockenspiel. A Major",42,124,Quirky Characters,2nd Foundation Music,Daryl Griffith,1116,1917;1918;2084;3906,09/06/2023
2FM_2FM_0091_01401,Clowning Around Sparse,"Lighthearted, playful, funny ensemble for comedy, cartoons & reality TV. Bright, bouncy string quartet chords introduce cheeky, mischievous xylophone tune with clumsy, plodding accompaniment. G Major",132,135,Quirky Characters,2nd Foundation Music,Daryl Griffith,1116,1918;2084;3906,09/06/2023
2FM_2FM_0091_11201,Quirky Turkey Sting B,"Quirky, breezy sting for comedy, cartoons & reality TV. Raucous muted trumpet & clumsy trombone slides with positive string quartet & light tuned percussion. Bb Major",144,7,Quirky Characters,2nd Foundation Music,Daryl Griffith,1116,1918;2084;3906,09/06/2023
2FM_2FM_0092_06901,Ponderous Plod Sting B,"Slow, defeated brass sting for documentaries & reality TV. Heavy, plodding trombones with sad, wistful cornet melody & bold ending. C Minor",70,11,Comedy Brass,2nd Foundation Music,Daryl Griffith,1116,1917;2032;3906,09/06/2023
2FM_2FM_0092_10701,Bumble and Bluster Sting A,"Fast, happy brass sting for children's TV & comedy. Running cornet & rising trombone chords lead to strong, positive end. Bb Major",125,7,Comedy Brass,2nd Foundation Music,Daryl Griffith,1116,1917;2032;2084;3906,09/06/2023
2FM_2FM_0094_00701,Peace Of Mind,"Peaceful, contented felt piano & string quartet for heartwarming stories & adverts. Delicate, lilting piano loop & tender, heartfelt strings build to rich, uplifting climax before return to soft, calm ending. G Major",37,182,Soft Simplicity,2nd Foundation Music,Paul Reeves,1120,3906,11/01/2023
2FM_2FM_0097_01901,Ancient Ritual Sparse Choir,"Mysterious, unknown choral textures for documentaries & religious settings. Deep, dark mysterious choir ooh harmonies & pauses become hopeful before somber return. A Minor",60,160,Choir Emotions,2nd Foundation Music,Bradley Farmer,1111,1929;3906,02/07/2024
2FM_2FM_0098_08301,Unstoppable Force 30 B Orchestra Only,"Energetic, powerful orchestral build for promos, sports & advertising. Urgent, insistent string loops introduce bold brass theme. G Minor",170,31,Epic Challenges,2nd Foundation Music,Daryl Griffith,1227,1929;3906,04/03/2024
2FM_2FM_0099_00501,Proud Accomplishment,"Warm, reflective hybrid orchestra for documentaries, promos & advertising. Proud horns & distant bells introduce emotional strings theme with calm, walking drums. Noble brass middle leads to uplifting, soaring return. Eb Major",80,155,Heroic Achievements,2nd Foundation Music,Daryl Griffith,1227,1920;3906,04/03/2024
2FM_2FM_0099_06601,Victory Lap 30 B Orchestra Only,"Positive, jubilant orchestra for sports, documentaries & advertising. Hopeful strings & noble brass lead to victorious, soaring climax. D Major",120,31,Heroic Achievements,2nd Foundation Music,Bradley Farmer,1227,1920;3906,04/03/2024
2FM_2FM_0099_12101,Pinnacle Of Achievement 60 B Orchestra Only Sparse Brass,"Energetic, exciting orchestra for promos, sports & celebration. Fast, running strings & warm horns build to inspiring, uplifting brass & strong orchestral percussion. E Major",129,61,Heroic Achievements,2nd Foundation Music,Bradley Farmer,1227,1920;3906,04/03/2024
2FM_2FM_0102_04001,Drifting Away 60 A,"Serene, floating underscore for documentaries, drama & human interest. Soft, sparse, lonely felt piano arpeggios & ethereal synth pads with sad, flowing strings development. G# Minor",51,60,Emotional Reflections,2nd Foundation Music,Bradley Farmer,1120,2036;3906,06/05/2024
2FM_2FM_0105_00301,Quirky Countdown,"Fast, quirky guitars & percussion for tasking, game shows & documentaries. Energetic acoustic guitar loops build in layers with insistent marimba, ticking percussion & atmospheric electronics to urgent climax. C# Minor",129,139,Guitar Motion,2nd Foundation Music,Sebastian Truman,1118,3401;3906,08/07/2024
2FM_2FM_0105_04901,Hope & Aspiration Sting B,"Bright, hopeful guitars & tuned percussion sting for adverts & reality TV. Cool, rhythmic acoustic guitar & tuned percussion riff with bright, quirky mandolin, sparkling glockenspiel & light, energetic percussion. G Major",115,8,Guitar Motion,2nd Foundation Music,Sebastian Truman,1118,2003;3906,08/07/2024
2FM_2FM_0106_08301,Dawning Realization 60 B,"Agitated, building hybrid string quartet & electronics for drama & investigations. Fast, insistent strings lead into dramatic, urgent energy with running synth layers & percussive textures. D Minor",120,61,Textural Drama: Piano & Quartet,2nd Foundation Music,James Yan,1120,3906,08/07/2024
2FM_2FM_0107_06501,Tear Up The Town Rhythm Section Underscore,"Eccentric vintage jazz underscore with mild urgency, for retro source music, adverts & reality TV. Energetic guitar loop & light vibraphone joined by insistent drums, bass & delicate piano. C Minor",230,135,Quirky Vintage Jazz,2nd Foundation Music,Paul Reeves,1256,2084,09/04/2024
2FM_2FM_0108_05501,Under The Hood Instrumental,"Slow, sultry rock for adverts & reality TV. Cool, bluesy guitar hook with light, steady, slinky drums & bass, dynamically varying from delicate, cheeky sneaking to full, confident swagger. A Minor",90,171,Workshop Rock,2nd Foundation Music,Bob Charles,1336,1912;2164,10/02/2024
2FM_2FM_0108_06401,In Gear 60,"Gritty, determined rock for adverts, sports & motoring. Relentless distorted guitar riff & walking, hard rock beat building with insistent bass & wailing lead guitar. G# Minor",70,60,Workshop Rock,2nd Foundation Music,Richard Aikman,1336,2164,10/02/2024
2FM_2FM_0110_06401,Bumbling Buffoon SFX Slide Whistle Crash B,"Crash! Clumsy, comedic light orchestral sound effect for cartoons, comedy & reality TV. Frantic woodblocks lead into wobbly slide whislte fall with screeching strings & muted trumpets.",80,4,Cartoon Toolkit,2nd Foundation Music,Paul Cohen,1362,1914;2084;2171;2172,12/04/2024
2FM_2FM_0110_11401,Snazzy Strut Sting C,"Jazzy, leisurely light orchestra sting for cartoons & family shows. Bright, breezy strings & light drums lead to happy, cheerful end. G Major",80,5,Cartoon Toolkit,2nd Foundation Music,Carl Johnson,1276,1914;2084,12/04/2024
2FM_2FM_0111_02901,Building Empires 30,"Fast, insistent staccato strings for history, documentaries, reality TV & period drama. Energetic staccato strings build in restless looping layers. C Minor",173,31,Staccato Strings,2nd Foundation Music,Philip Jewson,1116,1920;1929;3906,02/05/2025
2FM_2FM_0115_07301,Coventry Carol 60 A,"Noble, majestic, mysterious chorale for string quartet & festive sparkles with beautiful, lyrical violin. Christmas carol arrangement for documentaries & holiday TV. Companion to 2FM059 Christmas String Quartet. G Minor",90,61,Christmas String Quartet: Festive Mix,2nd Foundation Music,Daryl Griffith,1113,2115,06/04/2025
2FM_2FM_0115_10601,O Come All Ye Faithful 30 A,"Noble, majestic strings & triumphant violin melody with festive bells & chimes. Uplifting, positive quartet arrangement of traditional Christmas carol for advertising & holiday TV. Companion to 2FM059 Christmas String Quartet. G Major",118,31,Christmas String Quartet: Festive Mix,2nd Foundation Music,Daryl Griffith,1113,2115,06/04/2025
ABAC_ABAC_0002_00701,Always Together,"From the band GLASS CANDLES (feat. Alistair Cowan). Delicate, sentimental and loving, this track slightly builds in energy and exudes tenderness and reflection regarding the natural progression of life and love. Music for Human drama, romance, family and indie films and applications. Key of G. Edit point(s) at 0'56"", 1'15"", 1'56"", 2'01"", 2'32"".",140,171,AbacuSync Artist Series 2,AbacuSync,Alistair Cowan,1224,1982;2036;3409,01/04/2023
ABAC_ABAC_0006_00601,I'm On Fire Inst,"From the band THE MOON ELEKTRIK (feat. Noah Lifschey, Theory Is Everything) Determined, confident, dangerous, strong, aggressive. East coast hip hop with big brass elements and a driving backbeat. Aggressive yet controlled and focused, this track will prepare you for any adversity making its way toward you. Music for Trailers, Sports, Action-Adventure, Action-Drama, Urban Drama. Edit point(s) at 0'04"", 0'08"", 0'35"", 1'32"", 2'15"". Key of Bbmin.",93,191,AbacuSync Artist Series 6,AbacuSync,Noah Lifschey,1237,2036;2050,05/03/2023
ABAC_ABAC_0011_00101,Find The Love,"From the band MEGAHEARTS (feat. Peter J Sykes) Orchestral/Pop track full of delicate, powerful, and emotional melodies paired with beautiful female vocals, creating a sense of hope and optimism. This song delivers a message of unity, understanding, and hope for a better world.",104,184,ABACUSYNC: Utopian Journey,AbacuSync,Peter Sykes,1224,2095;2100,11/01/2023
ABAC_ABAC_0015_00201,Everything is Everything Inst,"From the band ASTROCAMP (feat. Alexandre Greatly, Andi Vax) A gritty, electro-rock ballad about a strained love. Crunchy guitars and hard-hitting drums, offset by smooth, heartfelt vocals create a feeling of longing and desire. Subdued verses & an energetic chorus create a strong contrast and dynamic, grabbing the listeners attention and immersing them in a world of love and pain.",120,212,AbacuSync: Shake These Memories,AbacuSync,Alexandre Cogdill,3388,2103,03/06/2024
ABAC_ABAC_0020_00701,Fast Life (Cinematic),"From the band ASTROCAMP (feat. Alexandre Greatly, Mars Lasar, Kendel Lester) A high intensity track with trailerized elements that ebb and flow. Powerful string runs punctuate the reflective vocals creating a dynamic soundscape that foments the essence of drama. High energy builds and isolated reflective drops make this track perfect for sonic storytelling.",150,175,AbacuSync Series: Everlasting,AbacuSync,Alexandre Cogdill,1294,2095;2098;3409,08/07/2024
ADD_ADD_0002_05301,Remember Me (a 30),"Gentle, emotive cue with a sanguine air, featuring picked electric guitar, heartbeat kick, delicate piano and harp, and airy synth pads",125,30,REFLECTIVE STORIES,Addition Music,Russell Howard,1286,,01/09/2019
ADD_ADD_0002_10501,Secrets of Self (sting),Mysterious baritone guitar sting,72,10,REFLECTIVE STORIES,Addition Music,James Hankins,1222,,01/09/2019
ADD_ADD_0003_04401,Silver Linings (d),"Atmospheric hits, vibey keys and subtle percussion create a relaxed atmosphere",68,91,HOPEFUL STORIES,Addition Music,Michael Getches,1286,,01/09/2019
ADD_ADD_0004_00201,Infiltrate (a),"Edge-of-your-seat tension bed with throbbing sub-bass, skittering percussion, pounding beat, dramatic strings and pulsing synths; change in mood at 1:01 introducing delicate harp motif",125,106,REALITY: DRIVING TENSION,Addition Music,James Hankins,1227,2031,01/09/2019
ADD_ADD_0004_05601,Bank Heist (30),"Quick-paced tension bed with rapid lo-fi beat, bubbling 80s synths, electric guitar textures and extraterrestrial synths",130,30,REALITY: DRIVING TENSION,Addition Music,Kyle Johnston,1340,,01/09/2019
ADD_ADD_0004_09901,Late Night Ride (sting),Propulsive tension sting,130,8,REALITY: DRIVING TENSION,Addition Music,Matthew McGaughey,1114,3906,01/09/2019
ADD_ADD_0005_07401,Here for You (a 60),"Uplifting, upbeat indie synth pop with bright piano, grooving bass, dreamy electric guitar, funky licks, glowing synths and crisp beat",120,60,UPLIFTING REVEALS,Addition Music,Billie Fingers,1339,2103,01/09/2019
ADD_ADD_0005_09701,Optimism (sting),Driving blissful electro sting,135,5,UPLIFTING REVEALS,Addition Music,Austin Fray,1121,2098;2103,01/09/2019
ADD_ADD_0006_00901,Bad Taste (a),"Light tasking tension cue with sparse pizzicato strings, electronic bass and light percussive beat",101,91,Dramedy Tension,Addition Music,Russell Howard,1222,,08/21/2019
ADD_ADD_0006_04901,Getting Crunky (c),"Quirky dramedy cue, dancing pizzicato strings and clean, funky guitar",128,69,Dramedy Tension,Addition Music,Michael Getches,1222,,08/21/2019
